name,category,location,phone,website,rating,reviews,address,hours,gps_coordinates,data_id
Prathyaksh Automobiles,Car Showrooms,"Chandauli, Uttar Pradesh",,https://www.facebook.com/prathyakshauto,5,,"Ward No.:11, Sanjay Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 10 am Thu,"{'latitude': 25.2602209, 'longitude': 83.25179849999999}",0x398e174eab4fc4b1:0xc9cae844b9c57103
Jay Bajarang Washing Centre & Multibrand Car Workshop,Car Showrooms,"Chandauli, Uttar Pradesh",063881 45655,https://bajrangwash.gt.tc/,5,,"near Brijlax Tata Showroom, Futiya, Chandauli, Uttar Pradesh 232104",Closed · Opens 9 am Thu,"{'latitude': 25.258485099999998, 'longitude': 83.2789299}",0x398e1778cb6c7d79:0x7fcb83f4a665d43f
Rajendra Toyota - T Sparsh Toyota Touchpoint,Car Showrooms,"Chandauli, Uttar Pradesh",,,4,,"766X+7R2, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",Closed · Opens 10 am Thu,"{'latitude': 25.2606762, 'longitude': 83.249511}",0x398e3d00414fcd7f:0xbe772433f4b886df
New Dev Automobile,Car Showrooms,"Chandauli, Uttar Pradesh",,,,,"NH - 2, near One India Family Mart, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",,"{'latitude': 25.2599831, 'longitude': 83.268013}",0x398e1639c2a1707d:0x813e952bd0d61fc5
Revolt Showroom Chandauli | Electric Bikes In Uttar Pradesh,Car Showrooms,"Chandauli, Uttar Pradesh",076518 10681,https://www.revoltmotors.com/,4.9,,"Pandit Kamlapati Tripathi District Hospital, Grand Trunk Rd, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 10 am Thu,"{'latitude': 25.258688, 'longitude': 83.2737859}",0x398e170002152e05:0xbe1bade2d9f0d919
Oriental Automobiles and Agricultural Works Kubota Dealer,Car Showrooms,"Chandauli, Uttar Pradesh",097930 26677,http://www.kubota.co.in/,4.3,,"NH 19, Futiya, Chandauli, Uttar Pradesh 232120",Closed · Opens 10 am Thu,"{'latitude': 25.2583426, 'longitude': 83.2796542}",0x398e3dce0f8fe239:0xaed643fbdddddd76
jn fitness,Gyms,"Chandauli, Uttar Pradesh",078392 70370,,5,,"ward no. 12, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 4:30 am Thu,"{'latitude': 25.2594378, 'longitude': 83.2713675}",0x398e174eafaa7ef5:0xaaa5dbdd4dc7eb02
Leo Fitness club,Gyms,"Chandauli, Uttar Pradesh",,,4.2,,"Ward no 12, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closes soon · 10 pm · Opens 5 am Thu,"{'latitude': 25.255195099999998, 'longitude': 83.27282029999999}",0x398e173b5f181395:0x93e5d1d8878a1d79
VIP Fitness Point,Gyms,"Chandauli, Uttar Pradesh",,,5,,"7775+H88, Danpur, Chandauli, Uttar Pradesh 232104",,"{'latitude': 25.263901099999998, 'longitude': 83.2583313}",0x398e170068c491c9:0xdcd800b2fdebc035
KALIKA BHAWAN,Gyms,"Chandauli, Uttar Pradesh",,,4.6,,"7748+R7J, Gautam Nagar, Chandauli, Uttar Pradesh 232104",,"{'latitude': 25.2574674, 'longitude': 83.2651671}",0x398e175e9ddb5bd3:0xa1aa72ad65f66878
Hardcore Gym,Gyms,"Chandauli, Uttar Pradesh",091709 49644,,4.2,,"Ravi Nagar, Mughalsarai, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Closes soon · 10 pm · Opens 6 am Thu,"{'latitude': 25.2912428, 'longitude': 83.1116323}",0x398e3add33d7133b:0xda5674b8ad8470b7
The Old School Gym,Gyms,"Chandauli, Uttar Pradesh",,,4.8,,"832R+R85, Plat, Vil. Satapokhari Chauhan Basti Post. Dulahipur, Manohar Nagar, Gandhi Colony, Mughalsarai, Uttar Pradesh 232101",Closed · Opens 5 am Thu,"{'latitude': 25.3020107, 'longitude': 83.0908731}",0x398e3b44b91b6355:0x6d563d22f333be99
"MUSCLES MONSTER, THE IRON ERA",Gyms,"Chandauli, Uttar Pradesh",,,4.5,,"Top floor of maruti suzuki showroom, heven Mart, Top building, near 7, Mughalsarai, Uttar Pradesh 232101",Closes soon · 10 pm · Opens 5 am Thu,"{'latitude': 25.275130299999997, 'longitude': 83.12832}",0x398e3bd325753a85:0xcce867be154fd7ed
Shree paramhansh health club Ramnagar chandauli,Gyms,"Chandauli, Uttar Pradesh",083828 68886,,3.9,,"Mugal Sarai Rd, Dariyapur, Dariyapur Urf Panditpur, Uttar Pradesh 221008",Closed · Opens 4 am Thu,"{'latitude': 25.268510799999998, 'longitude': 83.05495289999999}",0x398e305e82537251:0xa68c9d0026e3d027
Best Herbalife nutrition Om Wellness Center,Gyms,"Chandauli, Uttar Pradesh",079844 73152,,,,"SHRI PARAMHANS KATRA, Purani Bazar Rd, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 7 am Thu,"{'latitude': 25.25932, 'longitude': 83.26593}",0x398e17c614da3863:0x250e02e3f80938c3
Fitness Gym,Gyms,"Chandauli, Uttar Pradesh",091997 72426,,4.5,,"210/A Prahupur, Kaithapur Rd, Mughalsarai, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Closed · Opens 5 am Thu,"{'latitude': 25.294766199999998, 'longitude': 83.118522}",0x398e3bbd906097af:0xd0d034cade1e2995
Munna Health Club,Gyms,"Chandauli, Uttar Pradesh",,,4.6,,"775C+GMR, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Temporarily closed,"{'latitude': 25.2588729, 'longitude': 83.2716307}",0x398e163f491bd957:0xadc7601cf3b6c215
Baba Ghrana,Gyms,"Chandauli, Uttar Pradesh",,,3.6,,"Chandauli, Uttar Pradesh 232104",,"{'latitude': 25.2964375, 'longitude': 83.3036875}",0x398e170e48147049:0xa8e33e2f67c14edc
REDBERRY A GYM DURGAKUND,Gyms,"Chandauli, Uttar Pradesh",099350 25557,,4.7,,"Deendayal Chauraha, Durgakund, Kabir Nagar Rd, Khojwan, Varanasi, Uttar Pradesh 221005",Closes soon · 10 pm · Opens 5:30 am Thu,"{'latitude': 25.290871499999998, 'longitude': 82.9947406}",0x398e31f6403adddd:0xaa8300d080f8737b
Barang Maurya Gali,Gyms,"Chandauli, Uttar Pradesh",,,4.4,,"788J+RHP, Baraga, Uttar Pradesh 232110",Temporarily closed,"{'latitude': 25.267135999999997, 'longitude': 83.33150479999999}",0x398e170077c5d72d:0xea8bcf109882587d
Khukhar chamran rahul Rao,Gyms,"Chandauli, Uttar Pradesh",,,,,"77G8+Q44, Basarikpur, Uttar Pradesh 232104",Temporarily closed,"{'latitude': 25.2768959, 'longitude': 83.2653191}",0x398e17004341a8c5:0x95e979c21bba78d4
Leo Fitness club,Fitness Centers,"Chandauli, Uttar Pradesh",,,4.2,,"Ward no 12, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closes soon · 10 pm · Opens 5 am Thu,"{'latitude': 25.255195099999998, 'longitude': 83.27282029999999}",0x398e173b5f181395:0x93e5d1d8878a1d79
jn fitness,Fitness Centers,"Chandauli, Uttar Pradesh",078392 70370,,5,,"ward no. 12, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 4:30 am Thu,"{'latitude': 25.2594378, 'longitude': 83.2713675}",0x398e174eafaa7ef5:0xaaa5dbdd4dc7eb02
VIP Fitness Point,Fitness Centers,"Chandauli, Uttar Pradesh",,,5,,"7775+H88, Danpur, Chandauli, Uttar Pradesh 232104",,"{'latitude': 25.263901099999998, 'longitude': 83.2583313}",0x398e170068c491c9:0xdcd800b2fdebc035
KALIKA BHAWAN,Fitness Centers,"Chandauli, Uttar Pradesh",,,4.6,,"7748+R7J, Gautam Nagar, Chandauli, Uttar Pradesh 232104",,"{'latitude': 25.2574674, 'longitude': 83.2651671}",0x398e175e9ddb5bd3:0xa1aa72ad65f66878
Hardcore Gym,Fitness Centers,"Chandauli, Uttar Pradesh",091709 49644,,4.2,,"Ravi Nagar, Mughalsarai, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Closes soon · 10 pm · Opens 6 am Thu,"{'latitude': 25.2912428, 'longitude': 83.1116323}",0x398e3add33d7133b:0xda5674b8ad8470b7
Best Herbalife nutrition Om Wellness Center,Fitness Centers,"Chandauli, Uttar Pradesh",079844 73152,,,,"SHRI PARAMHANS KATRA, Purani Bazar Rd, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 7 am Thu,"{'latitude': 25.25932, 'longitude': 83.26593}",0x398e17c614da3863:0x250e02e3f80938c3
Munna Health Club,Fitness Centers,"Chandauli, Uttar Pradesh",,,4.6,,"775C+GMR, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Temporarily closed,"{'latitude': 25.2588729, 'longitude': 83.2716307}",0x398e163f491bd957:0xadc7601cf3b6c215
Shemford - Mirzapur,Private Schools,"Mirzapur, Uttar Pradesh",076077 01316,https://www.mirzapur-shemford.com/,4.2,,"Natwa Rd, Natwa, Saket Puri Colony, Mirzapur, Uttar Pradesh 231001",Closed · Opens 9 am Thu,"{'latitude': 25.1445968, 'longitude': 82.5451885}",0x398fea6192b77409:0x521ec8d53af4af23
St. Mary's School & College,Private Schools,"Mirzapur, Uttar Pradesh",05442 220 022,https://www.stmarymirzapur.com/,,,"4HPH+GPV, Station Road, Pilikothi, Mirzapur, Lahauli Gautam, Mirzapur, Uttar Pradesh 231001",Open · Closes 2:45 am,"{'latitude': 25.1350666, 'longitude': 82.5785927}",0x398fc030b74246c7:0x6e2d40ad348ba6ff
Seth Anandram Jaipuria School Mirzapur,Private Schools,"Mirzapur, Uttar Pradesh",079850 07001,https://jaipuriaschoolsmirzapur.com/,,,"Ramaipatti - Kanaura Rd, Mirzapur, Arjunpur, Uttar Pradesh 231307",Closed · Opens 9 am Thu,"{'latitude': 25.1488622, 'longitude': 82.6131822}",0x398fc1fa2a282c5b:0xb381cf97ba29c7cc
New Bal Bharti Convent School,Private Schools,"Mirzapur, Uttar Pradesh",095556 13002,,,,"111,Sant, Police Line Rd, beside Police Pared Ground, near New Bal Bharti Convent School Mirza, Police Colony, Aghauli, Durgapur, Mirzapur-cum-Vindhyachal, Uttar Pradesh 231001",,"{'latitude': 25.147767599999998, 'longitude': 82.5793123}",0x398fc1cb1d75cea5:0xf6a95ef9365bedbb
Sister Mary School,Private Schools,"Mirzapur, Uttar Pradesh",082993 95288,,3.8,,"I branch-Pili kothi station road, near St Mary's Church office II Branch, near Tata motors service center, Bharuhana, Mirzapur-cum-Vindhyachal, Uttar Pradesh 231001",Closed · Opens 8 am Thu,"{'latitude': 25.1363502, 'longitude': 82.55157249999999}",0x398fc1c7b320c5f9:0x86546188c62c05e0
Playway School,Private Schools,"Mirzapur, Uttar Pradesh",05442 223 540,https://playwayschool.co.in/,,,"4HX5+GCM, Musaffarganj Rd, Gosain Tola, Mirzapur, Uttar Pradesh 231001",Closed · Opens 7:30 am Thu,"{'latitude': 25.1488409, 'longitude': 82.5585361}",0x398fea7f28d6fab7:0xe816a585b316e3d6
Lions School,Private Schools,"Mirzapur, Uttar Pradesh",,https://lionsschoolmirzapur.org/,,,"4HV6+C76, Lal Diggi, Saket Puri Colony, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",Closed · Opens 7 am Thu,"{'latitude': 25.1435437, 'longitude': 82.5606273}",0x398feb2b8e60b103:0xd7f841d2bead5cb0
Opus International School,Private Schools,"Mirzapur, Uttar Pradesh",,,,,"4HRC+7RX, Angarh Rd, opposite to bsnl telephone exchange, Dhauru Pur, Mirzapur, Uttar Pradesh 231001",,"{'latitude': 25.140734499999997, 'longitude': 82.5720968}",0x398fc02d8da187c9:0x5c009117aa063bcd
M. S. A. Dolphin School & College,Private Schools,"Mirzapur, Uttar Pradesh",093350 63729,,4.4,,"Civil Lines Rd, morchaghar chauraha, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",Closed · Opens 8 am Thu,"{'latitude': 25.159192899999997, 'longitude': 82.5902373}",0x398fc1d17a14baa1:0xcbd62c00c8431965
Basant Vidyalaya,Private Schools,"Mirzapur, Uttar Pradesh",,,,,"Gaughat Road, Gosain Tola, Mirzapur, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.1484687, 'longitude': 82.5608584}",0x398fea7f2657264f:0x83836be37a976768
S .D.Convent School,Private Schools,"Mirzapur, Uttar Pradesh",089486 29725,,,,"S.D, Convent School Harrai, Samogara, Mirzapur, Uttar Pradesh 231001",Closed · Opens 9 am Thu,"{'latitude': 25.0970484, 'longitude': 82.49587149999999}",0x398feb0a0c847819:0x30243d9205aed9b
Shemford School,Private Schools,"Mirzapur, Uttar Pradesh",077040 01681,https://mirzapur-shemford.com/,,,"National Highway 35, Bari Basahi, Mirzapur, Uttar Pradesh 231001",Closed · Opens 7:30 am Thu,"{'latitude': 25.1478768, 'longitude': 82.5317415}",0x398fea59908e20ef:0x27010f2b31a0f767
"National Convent School, Morchaghar",Private Schools,"Mirzapur, Uttar Pradesh",05442 359 451,https://sites.google.com/view/ncsmzp/home,,,"Morcha Ghar, Civil Lines Rd, Pathanpatti, Mirzapur, Uttar Pradesh 231001",Closed · Opens 8 am Thu,"{'latitude': 25.1581494, 'longitude': 82.5876497}",0x398fc1b9f5656baf:0x6296dbe9d3fbdefd
Coral Convent School,Private Schools,"Mirzapur, Uttar Pradesh",094516 22156,,,,"5H4R+7Q4, Anantram Patti, Mirzapur, Uttar Pradesh 231001",,"{'latitude': 25.155644199999998, 'longitude': 82.59196039999999}",0x398fc1b05a6bc285:0xa2113ce0b15a53a6
"M.G.ITI & M. G. TECHNICAL INSTITUTE , MIRZAPUR",Private Schools,"Mirzapur, Uttar Pradesh",05442 220 413,http://mgiti.in/,3.8,,"4HV3+57H, Natwa, Saket Puri Colony, Mirzapur, Uttar Pradesh 231001",Closed · Opens 10 am Thu,"{'latitude': 25.1429758, 'longitude': 82.5529868}",0x398fea87f29ff83d:0xb967c67a80890340
Mirzapur School,Private Schools,"Mirzapur, Uttar Pradesh",,,,,"4HWG+JHX, Aghauli, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",,"{'latitude': 25.146622699999998, 'longitude': 82.576493}",0x398fc1cb8e2e51e9:0x21540b4cbd5c1589
MSA DOLPHIN PUBLIC SCHOOL SUNDERGHAT MIRZAPUR,Private Schools,"Mirzapur, Uttar Pradesh",,,,,"5H29+HR7, Malviya Nagar, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",,"{'latitude': 25.151411, 'longitude': 82.5695595}",0x398fc1ba57a9de7d:0xd62be9d3d1a8d7be
JAIDEEP PUBLIC SCHOOL,Private Schools,"Mirzapur, Uttar Pradesh",094503 19609,http://jaideeppublicschool.com/,,,"5GJ7+9V4, Majhara, Uttar Pradesh 231312",Closed · Opens 7:30 am Thu,"{'latitude': 25.1808858, 'longitude': 82.51470119999999}",0x398febd3b6f8f729:0x3f5fd3d1a1b33e1d
Kachhawa Christian School,Private Schools,"Mirzapur, Uttar Pradesh",,https://actskcs.com/webpage/index.aspx,,,"Kachhawa Mirzapur Rd, Mirzapur, Uttar Pradesh 231501",Closed · Opens 6 am Thu,"{'latitude': 25.209055499999998, 'longitude': 82.70616609999999}",0x398fc5db3eb763d3:0x3ca184b4ad727fca
Vardhaman Public School,Private Schools,"Mirzapur, Uttar Pradesh",05442 220 138,,,,"4HV5+WHR, K.B.P.G. College Road, Ganga Darshan Colony, Saket Puri Colony, Mirzapur, Uttar Pradesh 231001",,"{'latitude': 25.144850299999998, 'longitude': 82.5588867}",0x398fea7e34424e69:0x4afd752084a6455
Prabhat Institute,Coaching Institutes,"Mirzapur, Uttar Pradesh",,http://prabhatinstitute.com/,4.8,,"Sabri, Ganga Darshan Colony, Nai Dasami, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",,"{'latitude': 25.141237, 'longitude': 82.55778629999999}",0x398fea81206e09e3:0xe61e7beb040e308
"Aakash Institute, Mirzapur",Coaching Institutes,"Mirzapur, Uttar Pradesh",063935 55071,https://centers.aakash.ac.in/aakash-institute-mirzapur-coaching-center-tehsil-chauraha-mirzapur-373791/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"1st Floor, Kesar Hari Complex, Tehsil Chauraha, near Sita Hospital, Aghauli, Mirzapur, Uttar Pradesh 231001",Closed · Opens 10 am Thu,"{'latitude': 25.143377299999997, 'longitude': 82.58116509999999}",0x398fc1295c91dead:0x31bc7dbe9c5de272
A.R. Classes Coaching Institute,Coaching Institutes,"Mirzapur, Uttar Pradesh",095596 68992,,4.7,,"Satti Rd, Lal Diggi, Bundelkhandi, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",,"{'latitude': 25.150281, 'longitude': 82.5640695}",0x398fc1d5d7bc950f:0x35fe8198ed26a650
VIBRANT CLASSES MIRZAPUR,Coaching Institutes,"Mirzapur, Uttar Pradesh",082993 02497,,4.4,,"Panjab national bank ke upar, Ramaipatti, Mirzapur, Uttar Pradesh 231001",Closed · Opens 10 am Thu,"{'latitude': 25.1530216, 'longitude': 82.58197109999999}",0x398fc1b2fcb8c00b:0xbd3ff212caaf98ba
Chemistry Classes by Rishi Kant Srivastava,Coaching Institutes,"Mirzapur, Uttar Pradesh",098387 50327,,5,,"Ramaipatti, Mirzapur, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.1520019, 'longitude': 82.5798377}",0x398fc110e5af75a1:0xca337a3195622e6a
science academy,Coaching Institutes,"Mirzapur, Uttar Pradesh",079055 37216,,4.5,,"5H2F+36H, Wellesley Ganj, Mirzapur, Uttar Pradesh 231001",,"{'latitude': 25.1501938, 'longitude': 82.57310989999999}",0x398fc1cd92b345ef:0x19f4cec06cf39a55
Garvit Sir,Coaching Institutes,"Mirzapur, Uttar Pradesh",,,5,,"Purani Bajaji, pakka ghat, Mirzapur-cum-Vindhyachal, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.1512481, 'longitude': 82.56521599999999}",0x398fc1c89e40a9ad:0x9cbe276fafefb26e
R.S. Coaching classes,Coaching Institutes,"Mirzapur, Uttar Pradesh",,,5,,"Rajendra nagar, Landmark -Raj Mandir, thareater, Wellesley Ganj, Mirzapur, Uttar Pradesh 231001",Closed · Opens 12 am Thu,"{'latitude': 25.1457309, 'longitude': 82.5738672}",0x398fc10c5b5fcd01:0x92e073b92083a2b1
Solvers Institute Mirzapur,Coaching Institutes,"Mirzapur, Uttar Pradesh",093071 07521,,4.4,,"Musaffarganj Rd, Gosain Tola, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",Closed · Opens 12 am Thu,"{'latitude': 25.1468223, 'longitude': 82.5595245}",0x398fea7fac2f5b43:0xef27bef3936d9b6a
Shri Krishna Academy,Coaching Institutes,"Mirzapur, Uttar Pradesh",,,4.8,,"2nd right, turn, In Sanskaar Public School, Pandeypur Rd, opposite Ajora Garden, Ganesh Ganj, Mirzapur, Uttar Pradesh 231001",Closed · Opens 7 am Thu,"{'latitude': 25.1430735, 'longitude': 82.584119}",0x398fc195586a282f:0xbc901c4f8ab45c98
Tiwari Academy Coaching center,Coaching Institutes,"Mirzapur, Uttar Pradesh",075258 03019,https://www.tiwariacademy.com/ncert-solutions/,4.5,,"Tondonpuri colony, Shetala Mandir, Mirzapur, Uttar Pradesh 231001",Closed · Opens 4 am Thu,"{'latitude': 25.1330247, 'longitude': 82.56364169999999}",0x398feba7ef8b9eb5:0xf7a4b9553579fcfa
Preksha Academy,Coaching Institutes,"Mirzapur, Uttar Pradesh",075220 80308,,4.7,,"Pansari Tola, Omkar Lal Bhawan, Tathai Rd, near Neel Kamal Hotel, Paira Tola, Mirzapur, Uttar Pradesh 231001",Closed · Opens 7 am Thu,"{'latitude': 25.1438728, 'longitude': 82.56629649999999}",0x398fc1de50d93999:0xc5a8b85783149d2f
Maths and learning lab teaching institute,Coaching Institutes,"Mirzapur, Uttar Pradesh",094526 64974,,4.8,,"4HQJ+X39, Shuklaha Kachahari Rd, Dhauru Pur, Mirzapur, Uttar Pradesh 231001",Closed · Opens 9 am Thu,"{'latitude': 25.1399173, 'longitude': 82.5802502}",0x398fc10075e5a6c9:0x5cf2bf17dac6f4b1
Mahendra Educational Private Limited,Coaching Institutes,"Mirzapur, Uttar Pradesh",,https://www.mahendras.org/,3.7,,"INFRONT OF K.B.P.G., COLLEGE MUSSAFARGANJ, Mirzapur, Uttar Pradesh 231001",Closed · Opens 6 am Thu,"{'latitude': 25.148262499999998, 'longitude': 82.5600487}",0x398fea7f13dd3d01:0x77808048054ba8db
Computer Launcher Institute of Information Technology,Coaching Institutes,"Mirzapur, Uttar Pradesh",091408 35352,,4.9,,"Arya Kanya Rd, Bhatwa Ki Pokhari, Wellesley Ganj, Mirzapur, Uttar Pradesh 231001",Closed · Opens 9 am Thu,"{'latitude': 25.1473816, 'longitude': 82.57073679999999}",0x398fc1b5b99559d9:0x9846cf4a75c50c8b
Aspirants Digital Library,Coaching Institutes,"Mirzapur, Uttar Pradesh",096161 65379,https://aspirants-library.lovable.app/,4.9,,"Rajshree colony, Police Line Rd, near national convent school, Rajarshi Nagar Colony, Mirzapur, Uttar Pradesh 231001",Closes soon · 10 pm · Opens 7 am Thu,"{'latitude': 25.1434823, 'longitude': 82.5825866}",0x398fc1557d0235a9:0x6ea988dfe3f84b5f
"Physics Wallah Coaching Center Helpline | IIT JEE, NEET Classes in Mirzapur",Coaching Institutes,"Mirzapur, Uttar Pradesh",074288 90305,https://www.pw.live/,3.8,,"Chauraha, Varanasi Rd, Cheruiram, Bharuhana, Mirzapur, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.134005, 'longitude': 82.583793}",0x398fc1fbba065925:0x83011c16e3a35589
Vindhya Computer Institute,Coaching Institutes,"Mirzapur, Uttar Pradesh",094511 68025,,3.7,,"5H29+758, HOUSE No.-1218, Kishun Prasad Marg, Kishun Prasad Ki Gali, near City Kotwali, Malviya Nagar, Mirzapur-cum-Vindhyachal, Uttar Pradesh 231001",Closed · Opens 9 am Thu,"{'latitude': 25.1506698, 'longitude': 82.5675964}",0x398fc1d1560656a1:0xa959aa22248cddbb
Guru Coaching Center,Coaching Institutes,"Mirzapur, Uttar Pradesh",081153 46821,https://youtube.com/channel/UCy2PMAHufI2YPWf6jzHZ8AQ,4.7,,"HomeNo, 412, Avas Vikas Colony, Dhauru Pur, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",Closed · Opens 5 am Thu,"{'latitude': 25.138209699999997, 'longitude': 82.57659489999999}",0x398fc0315d9046ef:0x66b29a8118032a4c
American institute Of english language pvt.ltd,Coaching Institutes,"Mirzapur, Uttar Pradesh",083185 39743,http://www.aiel.in/,4.8,,"Baghel ki gali Sankat Mochan Marg, Ghantaghar Rd, near hindu balika school, Mirzapur-cum-Vindhyachal, Uttar Pradesh 231001",Closed · Opens 7 am Thu,"{'latitude': 25.1512989, 'longitude': 82.572418}",0x398febdad44ca52f:0xd9e463751417e198
Popular Hospital Mirzapur,Hospitals,"Mirzapur, Uttar Pradesh",1800 121 141 000,https://www.popularhospital.in/contact-us-mirzapur.php,4.5,,"243/3, Jangi Rd, near Natwan, Police Chowki, Bharuhana, Mirzapur, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.1426542, 'longitude': 82.54359819999999}",0x398febb7db9b8b71:0x8367e346b16a9a29
Aiva Hospital - Best Eye Specialist | Eye Surgeon | Gynae Doctor in Mirzapur,Hospitals,"Mirzapur, Uttar Pradesh",073100 10210,,4.7,,"Civil Lines Rd, Ramaipatti, Mirzapur, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.153268699999998, 'longitude': 82.5831912}",0x398fc1c9c6868917:0x1668f94edaae0c67
The life hospital & Medical institute,Hospitals,"Mirzapur, Uttar Pradesh",075819 62364,https://tlhmi.in/,5,,"NH 76, Jangi Rd, near sabri chauraha, in front of oxygen gym, Teliyaganj, Mirzapur, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.136753499999998, 'longitude': 82.5603802}",0x398fc1aeccfd0843:0x3b9a760eb1f50fad
"City Hospital | Top Ophthalmologist & Gynecologist in Mirzapur | Cataract Surgery, Normal and Cesarean Delivery",Hospitals,"Mirzapur, Uttar Pradesh",094521 44578,https://cityhospitalmzp.com/,4.8,,"Bariyaghat Rd, Pakki Sarai, Mirzapur, Uttar Pradesh 231001",Closed · Opens 10 am Thu,"{'latitude': 25.151491999999998, 'longitude': 82.57202269999999}",0x398fc1d1f07b9d0b:0xe6037c6c0b90428e
DIVISIONAL Hospital,Hospitals,"Mirzapur, Uttar Pradesh",,,3.7,,"Ramaipatti, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",,"{'latitude': 25.1536527, 'longitude': 82.57766509999999}",0x398fc1ced60e7cbf:0x72823c05b6bc96fb
Maa Seeta Hospital And Fracture Clinic,Hospitals,"Mirzapur, Uttar Pradesh",094152 57684,,4.5,,"Tehsil Crossing, Police Line Rd, Aghauli, Mirzapur-cum-Vindhyachal, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.1432191, 'longitude': 82.5811806}",0x398fc035035852f1:0x1ed7df8204d3c89c
Sri Krishna Hospital,Hospitals,"Mirzapur, Uttar Pradesh",093892 17051,,4.7,,"Katra Bazirao Rd, Katra Bazirao, Mirzapur, Uttar Pradesh 231001",Closed · Opens 10 am Thu,"{'latitude': 25.1423643, 'longitude': 82.5652945}",0x398fc02b1a807b29:0xa309e84956d7afb2
Mirzapur City Hospital,Hospitals,"Mirzapur, Uttar Pradesh",063920 15342,,3.5,,"4HR8+X48, Katra Bazirao, Katra, Mirzapur, Uttar Pradesh 231001",Closed · Opens 10 am Thu,"{'latitude': 25.142404499999998, 'longitude': 82.5653281}",0x398fc02b10931f47:0x4968aad3ff37f11a
Government Women Hospital,Hospitals,"Mirzapur, Uttar Pradesh",,,3.9,,"5H2G+XM3, Ramaipatti, Mirzapur, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.152254, 'longitude': 82.57678}",0x398fc18c5ea1b39f:0x8dd95a430625a63
Elite Hospital,Hospitals,"Mirzapur, Uttar Pradesh",086049 37377,,3.3,,"Ramaipatti Main Rd, Ramaipatti, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.153752599999997, 'longitude': 82.5825563}",0x398fc1af29a9a537:0xdef0abfed4a635a7
Omega Hospital,Hospitals,"Mirzapur, Uttar Pradesh",083036 52372,,5,,"Ghode Sahid ke samne Ghurahupatti galli, Civil Lines Rd, Mirzapur, Uttar Pradesh 231001",Open 24 hours,"{'latitude': 25.1570526, 'longitude': 82.5866468}",0x398fc1c0cb0f7ffb:0x668ba7a8a5d61ed0
Anand Hospital And Maternity Home,Hospitals,"Mirzapur, Uttar Pradesh",05442 252 929,,4.1,72,"5H3J+588, Mission Compound Rd, Near ICICI Bank, Ramaipatti, Mirzapur-cum-Vindhyachal, Mirzapur, Uttar Pradesh 231001",Closed · Opens 10:30 am Thu,"{'latitude': 25.152924499999997, 'longitude': 82.58083359999999}",0x398fc1c97349a497:0xdcda62b860c91884
Srijan hospital,Hospitals,"Mirzapur, Uttar Pradesh",,,5,,"4HQM+828, Police Line Rd, Vindhyavasini Colony, Hariharpur, Mirzapur, Uttar Pradesh 231001",Closed · Opens 2 pm Thu,"{'latitude': 25.1382954, 'longitude': 82.5825734}",0x398fc1929962edb5:0xf04dbe089637ffe1
